T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
0.00,9.00,180.00,1.80,36.00,0,0,0,0,0,0
0.05,12.00,60.00,3.84,40.80,0,0,0,0,0,0
0.10,19.00,140.00,6.87,60.64,0,0,0,0,0,0
0.15,24.00,100.00,10.30,68.51,0,0,0,0,0,0
0.20,29.00,100.00,14.04,74.81,0,0,0,0,0,0
0.25,36.00,140.00,18.43,87.85,0,0,0,0,0,0
0.30,45.00,180.00,23.74,106.28,0,0,0,0,0,0
0.35,52.00,140.00,29.40,113.02,0,0,0,0,0,0
0.40,63.00,220.00,36.12,134.42,0,0,0,0,0,0
0.45,73.00,200.00,43.49,147.53,0,0,0,0,0,0
0.50,82.00,180.00,51.19,154.03,0,0,0,0,0,0
0.55,95.00,260.00,59.96,175.22,0,0,0,0,0,0
0.60,105.00,200.00,68.96,180.18,0,0,0,0,0,0
0.65,114.00,180.00,77.97,180.14,0,0,0,0,0,0
0.70,124.00,200.00,87.18,184.11,0,0,0,0,0,0
0.75,137.00,260.00,97.14,199.29,0,0,0,0,0,0
0.80,124.00,-260.00,102.51,107.43,0,0,0,0,0,0
0.85,190.00,1320.00,120.01,349.95,0,0,0,0,0,0
0.90,204.00,280.00,136.81,335.96,204,0,0,0,0,0
0.95,219.00,300.00,153.25,328.77,0,0,0,0,0,0
1.00,233.00,280.00,169.20,319.01,0,0,0,0,0,0
1.05,248.00,300.00,184.96,315.21,0,0,0,0,0,0
1.10,259.00,220.00,199.77,296.17,0,0,0,0,0,0
1.15,275.00,320.00,214.81,300.93,0,0,0,0,0,0
1.20,290.00,300.00,229.85,300.75,0,0,0,0,0,0
1.25,309.00,380.00,245.68,316.60,0,0,0,0,0,0
1.30,374.00,1300.00,271.34,513.28,0,0,0,0,0,0
1.35,388.00,280.00,294.68,466.62,0,0,0,0,0,0
1.40,402.00,280.00,316.14,429.30,0,0,0,0,0,0
1.45,418.00,320.00,336.51,407.44,0,0,0,0,0,0
1.50,435.00,340.00,356.21,393.95,0,0,0,0,0,0
1.55,453.00,360.00,375.57,387.16,0,0,0,0,0,0
1.60,474.00,420.00,395.25,393.73,0,0,0,0,0,0
1.65,495.00,420.00,415.20,398.98,0,0,0,0,0,0
1.70,516.00,420.00,435.36,403.19,0,0,0,0,0,0
1.75,541.00,500.00,456.49,422.55,0,0,0,0,0,0
1.80,567.00,520.00,478.59,442.04,0,0,0,0,0,0
1.85,585.00,360.00,499.87,425.63,0,0,0,0,0,0
1.90,607.00,440.00,521.30,428.50,0,0,0,0,0,0
1.95,633.00,520.00,543.64,446.80,0,0,0,0,0,0
2.00,654.00,420.00,565.71,441.44,0,0,0,0,0,0
2.05,678.00,480.00,588.17,449.16,0,0,0,0,0,0
2.10,704.00,520.00,611.34,463.32,0,0,0,0,0,0
2.15,726.00,440.00,634.27,458.66,0,0,0,0,0,0
2.20,751.00,500.00,657.61,466.93,0,0,0,0,0,0
2.25,775.00,480.00,681.09,469.54,0,0,0,0,0,0
2.30,797.00,440.00,704.27,463.63,0,0,0,0,0,0
2.35,821.00,480.00,727.62,466.91,0,0,0,0,0,0
2.40,844.00,460.00,750.89,465.52,0,0,0,0,0,0
2.45,868.00,480.00,774.32,468.42,0,0,0,0,0,0
2.50,838.00,-600.00,787.05,254.74,0,0,0,0,0,0
2.55,859.00,420.00,801.44,287.79,0,0,0,0,0,0
2.60,882.00,460.00,817.55,322.23,0,0,0,0,0,0
2.65,905.00,460.00,835.04,349.79,0,0,0,0,0,0
2.70,925.00,400.00,853.03,359.83,0,0,0,0,0,0
2.75,949.00,480.00,872.23,383.86,0,0,0,0,0,0
2.80,968.00,380.00,891.38,383.09,0,0,0,0,0,0
2.85,989.00,420.00,910.91,390.47,0,0,0,0,0,0
2.90,1008.00,380.00,930.32,388.38,0,0,0,0,0,0
2.95,1033.00,500.00,950.86,410.70,0,0,0,0,0,0
3.00,1050.00,340.00,970.69,396.56,0,0,0,0,0,0
3.05,1072.00,440.00,990.95,405.25,0,0,0,0,0,0
3.10,1092.00,400.00,1011.16,404.20,0,0,0,0,0,0
3.15,1108.00,320.00,1030.53,387.36,0,0,0,0,0,0
3.20,1132.00,480.00,1050.82,405.89,0,0,0,0,0,0
3.25,1150.00,360.00,1070.66,396.71,0,0,0,0,0,0
3.30,1171.00,420.00,1090.73,401.37,0,0,0,0,0,0
3.35,1188.00,340.00,1110.18,389.09,0,0,0,0,0,0
3.40,1208.00,400.00,1129.74,391.28,0,0,0,0,0,0
3.45,1227.00,380.00,1149.20,389.02,0,0,0,0,0,0
3.50,1243.00,320.00,1167.96,375.22,0,0,0,0,0,0
3.55,1268.00,500.00,1187.97,400.17,0,0,0,0,0,0
3.60,1282.00,280.00,1206.77,376.14,0,0,0,0,0,0
3.65,1297.00,300.00,1224.82,360.91,0,0,0,0,0,0
3.70,1317.00,400.00,1243.25,368.73,0,0,0,0,0,0
3.75,1335.00,360.00,1261.60,366.98,0,0,0,0,0,0
3.80,1353.00,360.00,1279.88,365.59,0,0,0,0,0,0
3.85,1368.00,300.00,1297.51,352.47,0,0,0,0,0,0
3.90,1389.00,420.00,1315.80,365.98,0,0,0,0,0,0
3.95,1405.00,320.00,1333.64,356.78,0,0,0,0,0,0
4.00,1420.00,300.00,1350.92,345.42,0,0,0,0,0,0
4.05,1435.00,300.00,1367.73,336.34,0,0,0,0,0,0
4.10,1454.00,380.00,1384.99,345.07,0,0,0,0,0,0
4.15,1473.00,380.00,1402.59,352.06,0,0,0,0,0,0
4.20,1489.00,320.00,1419.87,345.64,0,0,0,0,0,0
4.25,1505.00,320.00,1436.90,340.52,0,0,0,0,0,0
